recipient,status,timestamp,subject,notes
demo-buyer-001@example.com,sent,2026-09-24T10:00:00Z,B2B Wholesale Catalog - Handcrafted Singing Bowls,Demo delivery simulation
demo-buyer-002@example.com,sent,2026-09-24T10:05:00Z,B2B Wholesale Catalog - Handcrafted Singing Bowls,Demo delivery simulation
demo-buyer-003@example.com,sent,2026-09-24T10:10:00Z,B2B Wholesale Catalog - Handcrafted Singing Bowls,Demo delivery simulation
demo-buyer-004@example.com,sent,2026-09-24T10:15:00Z,B2B Wholesale Catalog - Handcrafted Singing Bowls,Demo delivery simulation
demo-buyer-005@example.com,sent,2026-09-24T10:20:00Z,B2B Wholesale Catalog - Handcrafted Singing Bowls,Demo delivery simulation
demo-buyer-006@example.com,sent,2026-09-24T10:25:00Z,B2B Wholesale Catalog - Handcrafted Singing Bowls,Demo delivery simulation
demo-buyer-007@example.com,sent,2026-09-24T10:30:00Z,B2B Wholesale Catalog - Handcrafted Singing Bowls,Demo delivery simulation
demo-buyer-008@example.com,sent,2026-09-24T10:35:00Z,B2B Wholesale Catalog - Handcrafted Singing Bowls,Demo delivery simulation
demo-buyer-009@example.com,sent,2026-09-24T10:40:00Z,B2B Wholesale Catalog - Handcrafted Singing Bowls,Demo delivery simulation
demo-buyer-010@example.com,sent,2026-09-24T10:45:00Z,B2B Wholesale Catalog - Handcrafted Singing Bowls,Demo delivery simulation
procurement@example-us-homedecor.com,sent,2026-09-24T11:00:00Z,B2B Wholesale Catalog - Handcrafted Singing Bowls,Sample delivery simulation
contact@example-soundhealingdecor.com,sent,2026-09-24T11:05:00Z,B2B Wholesale Catalog - Handcrafted Singing Bowls,Sample delivery simulation
inquiry@example-decorboutique.com,sent,2026-09-24T11:10:00Z,B2B Wholesale Catalog - Handcrafted Singing Bowls,Sample delivery simulation
